"Timestamp","By.clicking..I.Agree..below..you.voluntarily.consent.to.the.collection.and.processing.of.your.data.for.this.study.","Name...optional.","Gender.","Age.","Current.Occupational.Status","How.often.do.you.shop.online..","Which.e.commerce.platforms.do.you.use.most.frequently....check.all.that.applies.to.you.","During.which.times.or.events.are.you.most.likely.to.shop.online.","What.product.categories.do.you.most.frequently.purchase.online....check.all.that.applies.to.you.","On.average..how.much.do.you.spend.per.online.purchase.checkout...","Price.of.the.product.","X..Availability.of.Free.Shipping.vouchers..","X..Percentage.of.Discount.Promos.applied..","X..Speed.of.Delivery..","X..Brand.reputation...Authenticity..","How.heavily.do.customer.ratings.and.reviews.influence.your.decision.to.purchase...","X.What.specific.element.in.a.product.review.matters.most.to.you...","Have.you.ever.abandoned.your.online.shopping.cart.without.checking.out..If.yes..what.is.the.most.common.reason...","In.your.opinion..what.is.the.best.way.for.online.sellers.or.e.commerce.platforms.to.improve.your.shopping.experience."
"2026/05/18 11:47:42 pm gmt+8","i agree","","other","18 - 24 years old","student","2-3 times a month","shopee;lazada;facebook marketplace","monthly double-digit sales (e.g., 11.11, 12.12)","fashion and apparel (clothes, shoes, accessories);electronics and gadgets","₱1,001 - ₱3,000",5,4,4,3,5,5,"pictures or videos uploaded by buyers","found a cheaper alternative elsewhere",""
"2026/05/18 11:58:36 pm gmt+8","i agree","","male","18 - 24 years old","student","2-3 times a month","shopee;tiktok shop","random days when i need a specific item","fashion and apparel (clothes, shoes, accessories);electronics and gadgets;health and beauty (skincare, cosmetics, supplements)","₱500 - ₱1,000",5,4,3,5,5,5,"star rating (e.g., 4.5 stars and above)","found a cheaper alternative elsewhere",""
"2026/05/18 11:59:45 pm gmt+8","i agree","","male","18 - 24 years old","student","rarely (only during special occasions/sales)","shopee;lazada","holiday seasons (christmas, valentine's, etc.)","electronics and gadgets","₱500 - ₱1,000",5,5,5,3,5,4,"written feedback detailing the user's experience","i was just browsing/saving items for later","flexibility on their pricing for their products"
"2026/05/19 12:00:12 am gmt+8","i agree","","male","18 - 24 years old","student","rarely (only during special occasions/sales)","shopee;lazada;facebook marketplace","random days when i need a specific item","electronics and gadgets;home and living (furniture, decor, appliances)","below ₱500",5,5,5,4,5,3,"written feedback detailing the user's experience","i was just browsing/saving items for later",""
"2026/05/19 12:00:14 am gmt+8","i agree","baobao","male","18 - 24 years old","student","rarely (only during special occasions/sales)","shopee","random days when i need a specific item","electronics and gadgets;groceries and daily essentials","below ₱500",5,5,5,4,5,5,"written feedback detailing the user's experience","i was just browsing/saving items for later","just window-shop and take your time online shopping for the best deals."
"2026/05/19 12:03:10 am gmt+8","i agree","","male","18 - 24 years old","student","rarely (only during special occasions/sales)","tiktok shop","random days when i need a specific item","fashion and apparel (clothes, shoes, accessories);health and beauty (skincare, cosmetics, supplements)","₱500 - ₱1,000",5,5,5,5,4,5,"written feedback detailing the user's experience","i was just browsing/saving items for later","by offering a good price, fast ships and a responsive customer service."
"2026/05/19 12:08:20 am gmt+8","i agree","","female","25 - 34 years old","student","2-3 times a month","shopee;tiktok shop","late at night (midnight sales/flash deals)","fashion and apparel (clothes, shoes, accessories);health and beauty (skincare, cosmetics, supplements)","below ₱500",4,5,5,5,5,4,"pictures or videos uploaded by buyers","found a cheaper alternative elsewhere","better customer service, honest product details, and faster delivery updates."
"2026/05/19 7:42:31 am gmt+8","i agree","","female","18 - 24 years old","student","once a month","shopee;tiktok shop","random days when i need a specific item","fashion and apparel (clothes, shoes, accessories);electronics and gadgets;health and beauty (skincare, cosmetics, supplements)","₱500 - ₱1,000",5,5,5,5,5,5,"written feedback detailing the user's experience","i was just browsing/saving items for later",""
"2026/05/19 7:46:55 am gmt+8","i agree","","male","18 - 24 years old","self-employed / freelancer","2-3 times a month","tiktok shop;facebook marketplace","random days when i need a specific item","electronics and gadgets;health and beauty (skincare, cosmetics, supplements)","₱500 - ₱1,000",5,3,3,5,5,5,"star rating (e.g., 4.5 stars and above)","i was just browsing/saving items for later",""
"2026/05/19 7:50:00 am gmt+8","i agree","","male","18 - 24 years old","employed (full-time/part-time)","multiple times a week","shopee;tiktok shop;facebook marketplace;brand's own website/app","random days when i need a specific item","fashion and apparel (clothes, shoes, accessories);electronics and gadgets;home and living (furniture, decor, appliances);vehicle accessories","₱3,001 - ₱5,000",4,5,5,2,5,4,"pictures or videos uploaded by buyers","found a cheaper alternative elsewhere","they should always require proper user sentiment and proof of the item being reviewed since this is what usually affects the reputation of a product"
"2026/05/19 8:49:01 am gmt+8","i agree","jairus torreda","male","18 - 24 years old","student","once a month","shopee;tiktok shop","holiday seasons (christmas, valentine's, etc.)","fashion and apparel (clothes, shoes, accessories);electronics and gadgets;health and beauty (skincare, cosmetics, supplements);home and living (furniture, decor, appliances)","below ₱500",4,4,4,4,4,4,"star rating (e.g., 4.5 stars and above)","shipping fee was too high","responsible online sellers, easier returns and warranties customers buy more confidently when returns are painless"
"2026/05/20 7:25:01 am gmt+8","i agree","","female","18 - 24 years old","unemployed","2-3 times a month","tiktok shop","random days when i need a specific item","fashion and apparel (clothes, shoes, accessories);health and beauty (skincare, cosmetics, supplements)","₱500 - ₱1,000",4,4,5,5,5,5,"star rating (e.g., 4.5 stars and above)","changed my mind about needing the item","honest reviews of the products"
